ID,Name,Date,Time,Event,Status,Latitude,Longitude,Maximum Wind,Minimum Pressure,Low Wind NE,Low Wind SE,Low Wind SW,Low Wind NW,Moderate Wind NE,Moderate Wind SE,Moderate Wind SW,Moderate Wind NW,High Wind NE,High Wind SE,High Wind SW,High Wind NW,Lat_Lon_Combined,geo_data,address,country,country_code,locality,county,state,house_number,road,postcode,place,suburb,city,state_district,town,hamlet,village,archipelago,city_district,amenity,region,building,municipality,neighbourhood,tourism,leisure,aeroway,residential,highway,township,island,landuse,farm,shop,man_made,isolated_dwelling,quarter,yes,historic,province,subdivision,department,industrial,farmyard,borough,club,office,Lat Split,Long Split
AL011851,            UNNAMED,18510625,1800,  , HU,28.1N,96.5W,80,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"28.1N, 96.5W","{'place_id': 282416250, 'licence': 'Data Â© OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 148838, 'lat': '39.7837304', 'lon': '-100.445882', 'display_name': 'United States', 'address': {'country': 'United States', 'country_code': 'us'}, 'boundingbox': ['-14.7608358', '71.6048217', '-180', '180']}","{'country': 'United States', 'country_code': 'us'}",United States,us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.1,-96.5
AL011851,            UNNAMED,18510625,2100, L, HU,28.2N,96.8W,80,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"28.2N, 96.8W","{'place_id': 2354900, 'licence': 'Data Â© OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'node', 'osm_id': 356723807, 'lat': '28.1917753', 'lon': '-96.8144556', 'display_name': 'Second Chain of Islands, Calhoun County, Texas, United States', 'address': {'locality': 'Second Chain of Islands', 'county': 'Calhoun County', 'state': 'Texas', 'country': 'United States', 'country_code': 'us'}, 'boundingbox': ['28.1817753', '28.2017753', '-96.8244556', '-96.8044556']}","{'locality': 'Second Chain of Islands', 'county': 'Calhoun County', 'state': 'Texas', 'country': 'United States', 'country_code': 'us'}",United States,us,Second Chain of Islands,Calhoun County,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.2,-96.8
AL011851,            UNNAMED,18510626,0,  , HU,28.2N,97.0W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"28.2N, 97.0W","{'place_id': 283051448, 'licence': 'Data Â© OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 1828408, 'lat': '28.1987876', 'lon': '-96.947708', 'display_name': 'Aransas County, Texas, United States', 'address': {'county': 'Aransas County', 'state': 'Texas', 'country': 'United States', 'country_code': 'us'}, 'boundingbox': ['27.7660089', '28.319238', '-97.260818', '-96.7133726']}","{'county': 'Aransas County', 'state': 'Texas', 'country': 'United States', 'country_code': 'us'}",United States,us,,Aransas County,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.2,-97
AL011851,            UNNAMED,18510626,600,  , TS,28.3N,97.6W,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"28.3N, 97.6W","{'place_id': 282599302, 'licence': 'Data Â© OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 1828415, 'lat': '28.3871179', 'lon': '-97.7191838', 'display_name': 'Bee County, Texas, United States', 'address': {'county': 'Bee County', 'state': 'Texas', 'country': 'United States', 'country_code': 'us'}, 'boundingbox': ['28.129683', '28.7195449', '-98.0897639', '-97.375579']}","{'county': 'Bee County', 'state': 'Texas', 'country': 'United States', 'country_code': 'us'}",United States,us,,Bee County,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.3,-97.6
AL011851,            UNNAMED,18510626,1200,  , TS,28.4N,98.3W,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"28.4N, 98.3W","{'place_id': 250288973, 'licence': 'Data Â© OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 762749400, 'lat': '28.3955877', 'lon': '-98.30314882490887', 'display_name': '252, County Road 436, Live Oak County, Texas, United States', 'address': {'house_number': '252', 'road': 'County Road 436', 'county': 'Live Oak County', 'state': 'Texas', 'country': 'United States', 'country_code': 'us'}, 'boundingbox': ['28.3954719', '28.3957863', '-98.3032438', '-98.3030752']}","{'house_number': '252', 'road': 'County Road 436', 'county': 'Live Oak County', 'state': 'Texas', 'country': 'United States', 'country_code': 'us'}",United States,us,,Live Oak County,Texas,252,County Road 436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.4,-98.3
AL011851,            UNNAMED,18510626,1800,  , TS,28.6N,98.9W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"28.6N, 98.9W","{'place_id': 282623357, 'licence': 'Data Â© OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 1827176, 'lat': '28.3391148', 'lon': '-99.0982257', 'display_name': 'La Salle County, Texas, United States', 'address': {'county': 'La Salle County', 'state': 'Texas', 'country': 'United States', 'country_code': 'us'}, 'boundingbox': ['28.0304031', '28.6475876', '-99.4082898', '-98.8008613']}","{'county': 'La Salle County', 'state': 'Texas', 'country': 'United States', 'country_code': 'us'}",United States,us,,La Salle County,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.6,-98.9
AL011851,            UNNAMED,18510627,0,  , TS,29.0N,99.4W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"29.0N, 99.4W","{'place_id': 282575091, 'licence': 'Data Â© OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 1657498, 'lat': '28.8352831', 'lon': '-99.1226618', 'display_name': 'Frio County, Texas, United States', 'address': {'county': 'Frio County', 'state': 'Texas', 'country': 'United States', 'country_code': 'us'}, 'boundingbox': ['28.6405325', '29.0912801', '-99.4138949', '-98.8008613']}","{'county': 'Frio County', 'state': 'Texas', 'country': 'United States', 'country_code': 'us'}",United States,us,,Frio County,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,-99.4
AL011851,            UNNAMED,18510627,600,  , TS,29.5N,99.8W,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"29.5N, 99.8W","{'place_id': 102387328, 'licence': 'Data Â© OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 15403351, 'lat': '29.50135841961479', 'lon': '-99.80020341816567', 'display_name': 'County Road 423, Uvalde County, Texas, United States', 'address': {'road': 'County Road 423', 'county': 'Uvalde County', 'state': 'Texas', 'country': 'United States', 'country_code': 'us'}, 'boundingbox': ['29.499677', '29.507765', '-99.808199', '-99.796205']}","{'road': 'County Road 423', 'county': 'Uvalde County', 'state': 'Texas', 'country': 'United States', 'country_code': 'us'}",United States,us,,Uvalde County,Texas,,County Road 423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.5,-99.8
AL011851,            UNNAMED,18510627,1200,  , TS,30.0N,100.0W,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"30.0N, 100.0W","{'place_id': 101330290, 'licence': 'Data Â© OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 15216274, 'lat': '29.999437', 'lon': '-100.000332', 'display_name': 'Edwards County, Texas, United States', 'address': {'county': 'Edwards County', 'state': 'Texas', 'country': 'United States', 'country_code': 'us'}, 'boundingbox': ['29.976937', '30.02187', '-100.063616', '-99.999805']}","{'county': 'Edwards County', 'state': 'Texas', 'country': 'United States', 'country_code': 'us'}",United States,us,,Edwards County,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,-100
AL011851,            UNNAMED,18510627,1800,  , TS,30.5N,100.1W,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"30.5N, 100.1W","{'place_id': 101786456, 'licence': 'Data Â© OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 15311675, 'lat': '30.501573', 'lon': '-100.100304', 'display_name': 'Kimble County, Texas, 76850, United States', 'address': {'county': 'Kimble County', 'state': 'Texas', 'postcode': '76850', 'country': 'United States', 'country_code': 'us'}, 'boundingbox': ['30.501573', '30.512204', '-100.116507', '-100.098213']}","{'county': 'Kimble County', 'state': 'Texas', 'postcode': '76850', 'country': 'United States', 'country_code': 'us'}",United States,us,,Kimble County,Texas,,,76850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.5,-100.1
